                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    137,                 0.6195,                0.46114,                 1.0003,                0.90135,                0.91747,                0.97433,                 0.7595,                 0.8603,                0.53214,                 1.2416,              0.0001817,              0.0001817,              0.0001817
                    138,                0.68283,                0.47318,                 1.0168,                0.87219,                0.92434,                0.97178,                0.75298,                0.86034,                0.53378,                 1.2424,              0.0001707,              0.0001707,              0.0001707
                    139,                 0.6447,                0.47004,                 1.0253,                 0.8823,                0.96477,                0.98079,                0.75508,                0.86186,                0.51143,                 1.2422,              0.0001597,              0.0001597,              0.0001597
                    140,                0.66855,                0.47822,                 1.0298,                0.96169,                0.92947,                0.98754,                0.76577,                0.86838,                0.49125,                 1.2348,              0.0001487,              0.0001487,              0.0001487
                    141,                0.59825,                 0.4576,                0.98276,                0.92333,                0.96464,                0.98535,                0.77138,                0.87067,                0.49424,                  1.237,             0.00013769,             0.00013769,             0.00013769
                    142,                0.59678,                0.42978,                0.97658,                0.96284,                0.97744,                0.98494,                0.75936,                0.86393,                0.51593,                 1.2165,             0.00012669,             0.00012669,             0.00012669
                    143,                0.58421,                  0.419,                0.98503,                0.95646,                0.98094,                0.98539,                0.75456,                0.85891,                0.50419,                 1.2093,             0.00011569,             0.00011569,             0.00011569
                    144,                0.63523,                 0.4564,                 1.0498,                0.92653,                0.98354,                0.98779,                 0.7601,                0.86502,                0.48148,                 1.2089,             0.00010469,             0.00010469,             0.00010469
                    145,                 0.5678,                0.40916,                 1.0009,                0.92785,                0.98011,                0.98622,                0.76411,                 0.8652,                0.47102,                 1.2079,             9.3685e-05,             9.3685e-05,             9.3685e-05
                    146,                0.59466,                 0.3928,                0.98402,                 0.9528,                0.98213,                0.98783,                0.77002,                0.86056,                0.47351,                 1.2065,             8.2683e-05,             8.2683e-05,             8.2683e-05
                    147,                0.56209,                0.37817,                0.97278,                0.95172,                 0.9784,                0.98697,                0.76745,                0.85905,                0.47314,                 1.2086,             7.1681e-05,             7.1681e-05,             7.1681e-05
                    148,                 0.5496,                0.36479,                0.96588,                0.95095,                0.99177,                0.98832,                 0.7658,                0.86291,                 0.4666,                  1.215,             6.0679e-05,             6.0679e-05,             6.0679e-05
                    149,                0.57394,                0.38843,                0.97816,                0.94894,                      1,                0.98827,                0.76166,                0.85799,                0.47404,                 1.2212,             4.9677e-05,             4.9677e-05,             4.9677e-05
